tema_id,severidad,alcance,irremediabilidad,probabilidad
1,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
2,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
3,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
4,4.428571428571429,4.428571428571429,4.428571428571429,4.428571428571429
5,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
6,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
7,4.0,4.0,4.0,4.0
8,5.0,5.0,5.0,5.0
9,4.857142857142857,4.857142857142857,4.857142857142857,4.857142857142857
10,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
11,3.857142857142857,3.857142857142857,3.857142857142857,3.857142857142857
12,4.857142857142857,4.857142857142857,4.857142857142857,4.857142857142857
13,4.714285714285714,4.714285714285714,4.714285714285714,4.714285714285714
14,4.428571428571429,4.428571428571429,4.428571428571429,4.428571428571429
15,4.714285714285714,4.714285714285714,4.714285714285714,4.714285714285714
16,4.714285714285714,4.714285714285714,4.714285714285714,4.714285714285714
17,4.0,4.0,4.0,4.0
18,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286
19,4.428571428571429,4.428571428571429,4.428571428571429,4.428571428571429
20,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
21,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571
22,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286
23,4.428571428571429,4.428571428571429,4.428571428571429,4.428571428571429
24,3.7142857142857144,3.7142857142857144,3.7142857142857144,3.7142857142857144
25,4.428571428571429,4.428571428571429,4.428571428571429,4.428571428571429
26,4.0,4.0,4.0,4.0
27,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284
