tema_id,tema_nombre,pilar
1,RENDICIÓN DE CUENTAS SOBRE LOS IMPACTOS (POSITIVOS Y NEGATIVOS) DE LA ORGANIZACIÓN.,No clasificado
2,TRANSPARENCIA EN LAS DECISIONES Y ACTIVIDADES DE LA ORGANIZACIÓN.,No clasificado
3,COMPORTAMIENTO ÉTICO.,No clasificado
4,RESPETO A LOS INTERESES DE LOS GRUPOS DE INTERÉS,No clasificado
5,CUMPLIMIENTO DE LA LEY.,No clasificado
6,RESPETO A LOS DERECHOS HUMANOS,No clasificado
7,"PARTICIPACIÓN INCLUSIVA DE TODOS LOS GRUPOS SOCIALES, ESPECIALMENTE LOS MÁS VULNERABLES (MUJERES, COMUNIDADES INDÍGENAS, ETC.).",No clasificado
8,"PROTECCIÓN DE LOS DERECHOS FUNDAMENTALES EN EL TRABAJO (LIBERTAD DE ASOCIACIÓN, NO DISCRIMINACIÓN, ELIMINACIÓN DEL TRABAJO INFANTIL Y FORZADO).",No clasificado
9,ALTOS ESTÁNDARES LABORALES Y DE PROTECCIÓN SOCIAL.,No clasificado
10,SALUD Y SEGURIDAD EN EL TRABAJO.,No clasificado
11,DESARROLLO HUMANO Y CAPACITACIÓN EN EL ÁMBITO LABORAL.,No clasificado
12,PREVENCIÓN DE LA CONTAMINACIÓN.,No clasificado
13,"USO SOSTENIBLE DE LOS RECURSOS  (AGUA, SUELO, ENERGÍA, ETC.).",No clasificado
14,ACCIONES FRENTE AL CAMBIO CLIMÁTICO.,No clasificado
15,PROTECCIÓN Y RESTAURACIÓN DE ECOSISTEMAS Y BIODIVERSIDAD.,No clasificado
16,"RELACIONES JUSTAS Y TRANSPARENTES CON PROVEEDORES (PAGO JUSTO, ANTICORRUPCIÓN, ETC.)",No clasificado
17,RESPONSABILIDAD COMPARTIDA CON PROVEEDORES Y ORGANIZACIONES ALIADAS.,No clasificado
18,RESPETO A LOS DERECHOS DE PROPIEDAD FÍSICA E INTELECTUAL.,No clasificado
19,APOYO A LA EDUCACIÓN Y LA CULTURA EN LAS COMUNIDADES.,No clasificado
20,IMPULSO A PROYECTOS PRODUCTIVOS Y GENERACIÓN DE INGRESOS EN LAS COMUNIDADES.,No clasificado
21,FOMENTO DE LA CREACIÓN DEL EMPLEO LOCAL,No clasificado
22,ACCIONES PARA MEJORAR LA SALUD EN LAS COMUNIDADES.,No clasificado
23,INVERSIÓN EN INFRAESTRUCTURA BÁSICA EN LAS COMUNIDADES,No clasificado
24,COMUNICACIÓN Y VINCULO CONTINUO CON MIEMBROS DE LAS COMUNIDADES Y OTROS ACTORES SOCIALES.,No clasificado
25,"DESARROLLO DE LA ECONOMIA LOCAL, REGIONAL Y EXTRAREGIONAL.",No clasificado
26,IIMPULSO DE INICIATIVAS ORIENTADAS A MEJORAR LA SEGURIDAD VIAL.,No clasificado
27,GESTIÓN ACTIVA ANTE EL AUMENTO DE LA POBLACIÓN TRANSITORIA.,No clasificado
