tema_id,impacto_financiero,probabilidad_financiera
1,4.285714285714286,4.285714285714286
2,4.714285714285714,4.714285714285714
3,4.857142857142857,4.857142857142857
4,4.0,4.0
5,4.857142857142857,4.857142857142857
6,4.0,4.0
7,3.7142857142857144,3.7142857142857144
8,4.714285714285714,4.714285714285714
9,4.857142857142857,4.857142857142857
10,4.857142857142857,4.857142857142857
11,4.285714285714286,4.285714285714286
12,4.428571428571429,4.428571428571429
13,4.428571428571429,4.428571428571429
14,4.0,4.0
15,4.285714285714286,4.285714285714286
16,4.285714285714286,4.285714285714286
17,3.857142857142857,3.857142857142857
18,4.142857142857143,4.142857142857143
19,3.7142857142857144,3.7142857142857144
20,4.285714285714286,4.285714285714286
21,4.428571428571429,4.428571428571429
22,3.857142857142857,3.857142857142857
23,4.142857142857143,4.142857142857143
24,3.857142857142857,3.857142857142857
25,4.285714285714286,4.285714285714286
26,3.857142857142857,3.857142857142857
27,3.7142857142857144,3.7142857142857144
